zip,city,state
39648,New Orleans,Mississippi
23455,Unorganized Territory of Camp Lejeune,Virginia
32084,null,Florida
33916,Aurora,Florida
30188,Gainesville,Georgia
37167,Smyrna,Tennessee
48603,Grand Ledge,Michigan
28578,Greenville,North Carolina
27030,Charlottesville,North Carolina
32771,Apopka,Florida
35117,null,Alabama
35080,null,Alabama
48603,East Lansing,Michigan
39208,Smithville,Mississippi
33781,Hialeah,Florida
22302,Springfield,Virginia
29609,Mount Airy,South Carolina
32244,York,Florida
28717,Hamilton,North Carolina
61081,Dixon,Illinois
27604,Louisville,North Carolina
39531,Baton Rouge,Mississippi
30060,Woodstock,Georgia
39503,Slidell,Mississippi
30906,Augusta,Georgia
33513,null,Florida
33901,Fort Myers,Florida
27028,Mocksville,North Carolina
31313,Charlotte,Georgia
61455,Austin,Illinois
30046,Newnan,Georgia
31217,Ellenwood,Georgia
33781,North Port,Florida
30434,Evans,Georgia
32822,Smithfield,Florida
18915,Upper Marlboro,Pennsylvania
34207,Largo,Florida
32571,Niceville,Florida
61455,Livonia,Illinois
33770,Wakefield,Florida
34207,Land O' Lakes,Florida
27025,Kannapolis,North Carolina
30060,Jamestown,Georgia
29577,Little River,South Carolina
29732,Belgrade,South Carolina
8210,Absecon,New Jersey
27603,Goldsboro,North Carolina
77065,Katy,Texas
7104,Saratoga Springs,New Jersey
48603,Houghton Lake,Michigan
29053,Lexington,South Carolina
35117,Cullman,Alabama
65803,Springfield,Missouri
35816,New Market,Alabama
7104,Mattawan,New Jersey
36606,Houston,Alabama
32824,Altamonte Springs,Florida
31503,Jesup,Georgia
64116,Kearney,Missouri
48603,Freeland,Michigan
28358,Marietta,North Carolina
33781,Orlando,Florida
60173,Chicago,Illinois
29651,Spartanburg,South Carolina
29407,Bluffton,South Carolina
30253,McDonough,Georgia
36606,Daphne,Alabama
27513,Richmond,North Carolina
32503,Cantonment,Florida
39702,Memphis,Mississippi
71282,Homer,Louisiana
62801,Centralia,Illinois
65803,null,Missouri
28461,Pune,North Carolina
48603,San José,Michigan
28092,Huntersville,North Carolina
37660,Tazewell,Tennessee
39056,Clinton,Mississippi
36567,Athens,Alabama
32114,Daytona Beach,Florida
29461,Charleston,South Carolina
30742,Rome,Georgia
7104,Garfield,New Jersey
32246,Pensacola,Florida
32303,Panama City,Florida
62801,West Frankfort,Illinois
49015,Saginaw,Michigan
32060,Lake City,Florida
36420,Andalusia,Alabama
28806,Seneca,North Carolina
36606,Panama City Beach,Alabama
30135,Lancaster,Georgia
39301,Atlanta,Mississippi
31788,null,Georgia
30650,Atlanta,Georgia
32922,null,Florida
32444,Archer,Florida
32064,High Springs,Florida
30024,Duluth,Georgia
25526,null,West Virginia
22302,Woodbridge,Virginia
34207,Fort Myers,Florida
33709,Altamonte Springs,Florida
67207,Concordia,Kansas
30080,Atlanta,Georgia
45011,null,Ohio
30337,Antioch,Georgia
28412,Longs,North Carolina
48603,Willoughby,Michigan
34135,Marion,Florida
8037,Woodlyn,New Jersey
30721,Hixson,Georgia
34614,Tampa,Florida
34243,Lakeland,Florida
29651,Ellenwood,South Carolina
36870,Erin,Alabama
35653,Lincolnshire,Alabama
2653,Saco,Massachusetts
29607,Simpsonville,South Carolina
27262,Winston-Salem,North Carolina
39073,Metairie,Mississippi
32805,DeLand,Florida
30141,McDonough,Georgia
42134,Riverton,Kentucky
29720,Jefferson City,South Carolina
37421,Charleston,Tennessee
30075,Chattanooga,Georgia
30721,Dawsonville,Georgia
31503,Savannah,Georgia
36203,Alexander City,Alabama
8753,Toms River,New Jersey
39503,Denham Springs,Mississippi
7104,Morrisville,New Jersey
34207,Franklin,Florida
36618,Houma,Alabama
60173,Oak Forest,Illinois
48603,Crystal,Michigan
36526,Miramar Beach,Alabama
34207,Pompano Beach,Florida
27596,Fayetteville,North Carolina
30040,Mahwah,Georgia
30297,null,Georgia
30096,Gastonia,Georgia
92675,Redding,California
36526,Atlanta,Alabama
27513,Greensboro,North Carolina
32578,Cantonment,Florida
20176,Seaford,Virginia
32304,Crawfordville,Florida
7104,South Amboy,New Jersey
53045,Anamosa,Wisconsin
29728,Brooklyn,South Carolina
32244,Ponte Vedra Beach,Florida
30434,Elk Grove Village,Georgia
34744,Miami,Florida
31324,Hinesville,Georgia
48603,Frankenmuth,Michigan
39503,null,Mississippi
28601,Belmont,North Carolina
35501,Jasper,Alabama
33714,Tampa,Florida
33023,Fort Lauderdale,Florida
24450,Altavista,Virginia
32571,Franklin,Florida
31503,Hazlehurst,Georgia
34207,Kiel,Florida
77338,Humble,Texas
22302,Greater Capitol Heights,Virginia
34684,Saint Petersburg,Florida
30066,Covington,Georgia
62863,Marion,Illinois
29016,Blythewood,South Carolina
29316,Spartanburg,South Carolina
33844,Haines City,Florida
48603,Burton,Michigan
78757,Waco,Texas
46123,Belgrade,Indiana
22312,Waldorf,Virginia
29053,Marietta,South Carolina
32060,High Springs,Florida
32771,Ocoee,Florida
32805,null,Florida
48603,Bridgeport,Michigan
29801,Columbia,South Carolina
33614,Tampa,Florida
48603,Marlette,Michigan
32244,Miami,Florida
32505,Baton Rouge,Florida
29609,Easley,South Carolina
30064,Mableton,Georgia
18915,Philadelphia,Pennsylvania
48603,Saint Louis,Michigan
18915,Newton,Pennsylvania
32208,Jacksonville,Florida
34638,Lakeland,Florida
34207,Boca Raton,Florida
31216,Monticello,Georgia
7104,Miami,New Jersey
31407,Redmond,Georgia
8210,Villas,New Jersey
35555,Birmingham,Alabama
25526,Redmond,West Virginia
30016,null,Georgia
33708,null,Florida
33612,Winter Haven,Florida
29730,Greenwood,South Carolina
27603,Chester,North Carolina
32505,Daphne,Florida
33982,Far Rockaway,Florida
7104,Brooklyn,New Jersey
7104,Springfield Gardens,New Jersey
62801,Mt. Vernon,Illinois
34638,Land O' Lakes,Florida
38127,Jonesboro,Tennessee
72401,Clyman,Arkansas
34243,Palmetto,Florida
34207,Hollywood,Florida
53546,De Forest,Wisconsin
32534,Denver,Florida
32311,Blountstown,Florida
28110,Charlotte,North Carolina
35501,Madison,Alabama
27262,Lexington,North Carolina
28403,Supply,North Carolina
30747,Rome,Georgia
33603,Saint Petersburg,Florida
28540,Morehead City,North Carolina
40047,Evansville,Kentucky
48603,Oxford,Michigan
18915,Wayne,Pennsylvania
34638,null,Florida
34448,Homosassa,Florida
33908,Orlando,Florida
28394,null,North Carolina
30721,Dalton,Georgia
48640,Bay City,Michigan
8037,Williamstown,New Jersey
35954,Sylacauga,Alabama
33604,null,Florida
28752,Marshall,North Carolina
33982,Owego,Florida
31419,Kenly,Georgia
72956,Fort Smith,Arkansas
40219,Erlanger,Kentucky
39507,Hattiesburg,Mississippi
30064,Pittsburgh,Georgia
32907,Melbourne,Florida
28202,Belgrade,North Carolina
48603,Volgograd,Michigan
29169,Mullins,South Carolina
77034,Beaumont,Texas
33709,Jacksonville,Florida
27262,null,North Carolina
8210,Portage,New Jersey
27604,Wilson,North Carolina
43912,Macedonia,Ohio
29418,Round O,South Carolina
27284,Greensboro,North Carolina
30531,Cornelia,Georgia
37876,Sevierville,Tennessee
24416,null,Virginia
36619,Jackson,Alabama
36526,Grand Prairie,Alabama
29501,Charlotte,South Carolina
29150,Hartsville,South Carolina
30024,Stone Mountain,Georgia
75142,Athens,Texas
32446,null,Florida
32771,Miami,Florida
29651,Charlotte,South Carolina
92675,Corona,California
30016,Smyrna,Georgia
34668,Tampa,Florida
34207,Hialeah,Florida
29728,Patrick,South Carolina
29456,Johns Island,South Carolina
33604,Kuwait City,Florida
7104,Fairburn,New Jersey
34471,Dunnellon,Florida
29607,Asheville,South Carolina
34207,Brooklyn,Florida
32534,Ocean Springs,Florida
37421,Lenoir City,Tennessee
36606,Milton,Alabama
37421,San Diego,Tennessee
30360,La Grange,Georgia
30528,Fairburn,Georgia
31023,Ambrose,Georgia
34207,Tampa,Florida
36801,null,Alabama
45246,Fairfield,Ohio
30084,Lithia Springs,Georgia
28906,null,North Carolina
32609,Lady Lake,Florida
28677,Fort Mill,North Carolina
27513,Apex,North Carolina
32246,Fort Lauderdale,Florida
28806,Franklin,North Carolina
27529,Fuquay-Varina,North Carolina
30168,Marietta,Georgia
34207,Lansing,Florida
29732,Asheville,South Carolina
30093,Cleveland,Georgia
77373,Huntsville,Texas
32254,Orange Park,Florida
28083,Concord,North Carolina
28540,Wilmington,North Carolina
34689,Northbrook,Florida
30076,Atlanta,Georgia
48603,Sherman,Michigan
30067,Marietta,Georgia
35810,Huntsville,Alabama
30747,Summerville,Georgia
32301,Lorain,Florida
32205,null,Florida
28792,Medford,North Carolina
38330,Memphis,Tennessee
36619,Braxton,Alabama
27262,Trinity,North Carolina
32164,Waterbury,Florida
36608,Loxley,Alabama
39531,Pascagoula,Mississippi
46038,Monon,Indiana
63376,Belgrade,Missouri
30060,Lithia Springs,Georgia
27604,Fayetteville,North Carolina
8210,Egg Harbor,New Jersey
36863,null,Alabama
64116,Lake Ozark,Missouri
67601,Red Cloud,Kansas
39531,Slidell,Mississippi
36203,Old Hickory,Alabama
60002,Anamosa,Illinois
28358,null,North Carolina
61455,Petersburg,Illinois
30458,Statesboro,Georgia
34748,Apopka,Florida
36608,Fairhope,Alabama
28906,Morganton,North Carolina
27357,Kannapolis,North Carolina
29566,null,South Carolina
49015,Lansing,Michigan
22302,Stafford,Virginia
27215,Seagrove,North Carolina
27105,Walkertown,North Carolina
31601,Frankford,Georgia
34208,null,Florida
30024,Atlanta,Georgia
33708,Sarasota,Florida
53045,Hartland,Wisconsin
36545,null,Alabama
29609,Winnsboro,South Carolina
80303,Denver,Colorado
4072,Buxton,Maine
30742,Jasper,Georgia
28115,null,North Carolina
29407,Johns Island,South Carolina
27262,Summerfield,North Carolina
29053,Fayetteville,South Carolina
30337,Atlanta,Georgia
7104,Columbia,New Jersey
30060,Chickamauga,Georgia
30736,Blue Ridge,Georgia
34207,Quincy,Florida
31204,Myrtle Beach,Georgia
39507,Ocean Springs,Mississippi
30060,Lilburn,Georgia
37421,Chattanooga,Tennessee
18915,Sellersville,Pennsylvania
18915,Hatfield,Pennsylvania
30075,Pell City,Georgia
29526,null,South Carolina
30055,Moultrie,Georgia
33604,Holiday,Florida
31545,Potomac,Georgia
38024,Milan,Tennessee
30121,Atlanta,Georgia
30319,Atlanta,Georgia
33781,Naples,Florida
30263,Fairburn,Georgia
27106,Clemmons,North Carolina
48603,Sterling Heights,Michigan
32060,Inverness,Florida
38122,null,Tennessee
30110,Madison,Georgia
33166,null,Florida
48603,Watertown,Michigan
30080,null,Georgia
30248,Greenville,Georgia
30046,Moultrie,Georgia
35565,null,Alabama
35085,Opelika,Alabama
27262,Rock Hill,North Carolina
28625,Matthews,North Carolina
8753,Browns Mills,New Jersey
34207,Lake Mary,Florida
28303,Albemarle,North Carolina
48603,Marshfield,Michigan
20176,Ashburn,Virginia
33566,null,Florida
30097,null,Georgia
30040,Franklin,Georgia
37211,null,Tennessee
48603,Moscow,Michigan
33912,North Fort Myers,Florida
33912,Tampa,Florida
44130,Painesville,Ohio
4072,Orono,Maine
92675,San Diego,California
53115,Benton,Wisconsin
15216,Pittsburgh,Pennsylvania
32822,Lakeland,Florida
38583,Crossville,Tennessee
34205,null,Florida
35570,null,Alabama
34233,Sarasota,Florida
27513,Holly Springs,North Carolina
1852,Tyngsboro,Massachusetts
29645,Dunn,South Carolina
30909,Columbia,Georgia
27703,Northbridge,North Carolina
37040,Ashland City,Tennessee
60173,Northbrook,Illinois
28214,Fort Mill,North Carolina
34669,Tampa,Florida
33770,Safety Harbor,Florida
31220,Lawrenceville,Georgia
34669,Saint Petersburg,Florida
34748,Lady Lake,Florida
48603,Baltimore,Michigan
42134,Bremen,Kentucky
32809,Bentonville,Florida
30075,Decatur,Georgia
2767,Middleboro,Massachusetts
34239,Waycross,Florida
30075,Stone Mountain,Georgia
34207,Ruskin,Florida
34207,Odessa,Florida
33440,null,Florida
28027,Little River,North Carolina
48603,Onsted,Michigan
27263,Minneapolis,North Carolina
2767,Waterbury,Massachusetts
33903,Miami,Florida
31032,Louisville,Georgia
32405,Panama City,Florida
32609,Gainesville,Florida
32771,Summerfield,Florida
30341,San Salvador,Georgia
33032,Homestead,Florida
47441,null,Indiana
33880,Kissimmee,Florida
33614,Lake City,Florida
30066,Decatur,Georgia
48603,Clare,Michigan
28303,Raeford,North Carolina
32750,Orlando,Florida
31794,null,Georgia
30534,Aberdeen,Georgia
34974,Orlando,Florida
30907,Stone Mountain,Georgia
8232,Parkville,New Jersey
34207,Alexandria,Florida
28097,Waynesboro,North Carolina
37055,Charlotte,Tennessee
48603,Brighton,Michigan
31501,null,Georgia
34471,Lake City,Florida
64503,Kansas City,Missouri
33415,Lakeland,Florida
27028,Mount Airy,North Carolina
39507,Gulfport,Mississippi
32566,Destin,Florida
36608,Pensacola,Alabama
67207,Wichita,Kansas
30122,null,Georgia
27526,Apex,North Carolina
28546,Brooklyn,North Carolina
7104,Randolph Township,New Jersey
7104,Columbus,New Jersey
30540,Albertville,Georgia
96814,Oak Harbor,Hawaii
39823,Bluffton,Georgia
30360,Goldsboro,Georgia
31548,Hoboken,Georgia
18915,Herndon,Pennsylvania
33610,Riverview,Florida
31602,Lincoln,Georgia
30458,Hanceville,Georgia
33810,St. Augustine,Florida
30742,Rossville,Georgia
30071,Lawrenceville,Georgia
31533,Douglas,Georgia
29536,Bennettsville,South Carolina
40701,Annville,Kentucky
29526,Chattanooga,South Carolina
30055,Griffin,Georgia
27513,Durham,North Carolina
30035,Powder Springs,Georgia
3051,Westbrook,New Hampshire
2767,Hyannis,Massachusetts
89502,Nevada City,Nevada
30126,Jonesboro,Georgia
29526,Berkeley,South Carolina
29645,Anderson,South Carolina
72956,Elizabethtown,Arkansas
7104,Hoboken,New Jersey
31503,Valdosta,Georgia
77578,Pearland,Texas
29732,Gaffney,South Carolina
27526,Raleigh,North Carolina
35555,Guntown,Alabama
29649,Richlands,South Carolina
77598,Spring,Texas
48603,Sezemice,Michigan
53051,Madison,Wisconsin
32713,null,Florida
33781,Ellenwood,Florida
35242,Birmingham,Alabama
32839,Sebring,Florida
33770,Cape Coral,Florida
48603,Swartz Creek,Michigan
30093,McDonough,Georgia
39056,Germantown,Mississippi
48603,Ypsilanti,Michigan
81004,Pueblo,Colorado
60106,Chicago,Illinois
77034,Boca Raton,Texas
31206,Macon,Georgia
34238,Plant City,Florida
30223,Columbus,Georgia
48603,Grand Blanc,Michigan
30093,Helsinki,Georgia
30093,Stone Mountain,Georgia
22302,Charlotte,Virginia
53045,Deerfield,Wisconsin
60106,Woodstock,Illinois
67207,Wyoming,Kansas
30909,North Augusta,Georgia
32703,Ocoee,Florida
67211,Wichita,Kansas
7104,Livingston Manor,New Jersey
30606,Atlanta,Georgia
8210,Quakertown,New Jersey
36608,Redmond,Alabama
27592,Clemmons,North Carolina
63376,Grandview,Missouri
33619,New Port Richey,Florida
32084,London,Florida
28105,Durham,North Carolina
27592,Wake Forest,North Carolina
29607,Charlotte,South Carolina
39823,Albany,Georgia
27603,Pink Hill,North Carolina
29649,Laurens,South Carolina
30747,Jasper,Georgia
32055,Jasper,Florida
32506,Columbia,Florida
36606,Long Beach,Alabama
28806,Candler,North Carolina
29730,Rock Hill,South Carolina
64116,Overland Park,Missouri
32246,Tallahassee,Florida
77373,Houston,Texas
32505,Mobile,Florida
74145,Sand Springs,Oklahoma
53051,Menomonee Falls,Wisconsin
74145,Jenks,Oklahoma
27104,Charlotte,North Carolina
27513,Chapel Hill,North Carolina
29715,Clover,South Carolina
14220,Hudson,New York
27604,Norfolk,North Carolina
30115,Six Mile,Georgia
96819,null,Hawaii
37421,Bealeton,Tennessee
30096,Buford,Georgia
29526,Ruffin,South Carolina
37421,Roseland,Tennessee
33566,Lakeland,Florida
39201,null,Mississippi
30046,Long Island City,Georgia
67207,null,Kansas
39507,Mabelvale,Mississippi
32043,Jacksonville,Florida
4072,Sabattus,Maine
39301,Hot Springs Village,Mississippi
27858,null,North Carolina
28043,Goldston,North Carolina
72801,'Aiea,Arkansas
7104,Westfield,New Jersey
27604,null,North Carolina
30052,Miami,Georgia
27529,null,North Carolina
30060,Clemmons,Georgia
77034,Pearland,Texas
22046,Washington,Virginia
27592,null,North Carolina
29170,Ladson,South Carolina
18915,Bryn Mawr,Pennsylvania
35405,Marion,Alabama
7104,Montrose,New Jersey
45246,West Chester,Ohio
39056,Hattiesburg,Mississippi
30906,Swainsboro,Georgia
36116,null,Alabama
24572,Lynchburg,Virginia
30060,Franklin,Georgia
30606,Verbena,Georgia
50131,Council Bluffs,Iowa
30655,McDonough,Georgia
33844,Winter Haven,Florida
38583,Monroe,Tennessee
33064,null,Florida
29829,Augusta,South Carolina
34481,Gainesville,Florida
27403,Mocksville,North Carolina
33770,Lynn Haven,Florida
29325,Abbeville,South Carolina
8210,Bridgeton,New Jersey
60173,Bloomington,Illinois
35117,Warrior,Alabama
18915,Conshohocken,Pennsylvania
8753,Brick Township,New Jersey
7104,Gaithersburg,New Jersey
48603,Romulus,Michigan
34753,Winter Park,Florida
30223,Jackson,Georgia
48603,Lake Zurich,Michigan
37814,Morristown,Tennessee
28358,Rougemont,North Carolina
36110,Montgomery,Alabama
31204,Union City,Georgia
30534,Cumming,Georgia
2132,South Portland,Massachusetts
29170,Little River,South Carolina
31501,Nahunta,Georgia
7104,Mamaroneck,New Jersey
86326,Boulder,Arizona
27592,Clayton,North Carolina
30474,Ocilla,Georgia
7104,New Brunswick,New Jersey
34207,Northbridge,Florida
30040,Dalton,Georgia
33064,Hialeah,Florida
33770,North Liberty,Florida
29570,Gaston,South Carolina
7104,Edison,New Jersey
45373,Dayton,Ohio
4072,Freeport,Maine
33903,Akron,Florida
10994,Burlington,New York
48603,Lachine,Michigan
36526,Gonzalez,Alabama
32809,Longwood,Florida
48603,Elk Grove Village,Michigan
33781,St. Augustine,Florida
27262,Smithfield,North Carolina
32114,Port Orange,Florida
31216,Milledgeville,Georgia
48640,Midland,Michigan
28806,Benton,North Carolina
32208,Miami,Florida
7104,East Brunswick,New Jersey
35080,Rainsville,Alabama
31021,null,Georgia
33625,null,Florida
34481,Brandon,Florida
39531,Fort Lee,Mississippi
33762,Louisville,Florida
24210,Abingdon,Virginia
32907,Palm Bay,Florida
32771,Wilmington,Florida
34669,Kissimmee,Florida
35816,Vicksburg,Alabama
33708,New Port Richey,Florida
29566,Charlotte,South Carolina
77802,Oak Creek,Texas
37115,Goodlettsville,Tennessee
33770,Seaford,Florida
32566,Navarre,Florida
29376,Boiling Springs,South Carolina
32824,Titusville,Florida
34207,Cordova,Florida
27616,Raleigh,North Carolina
27262,Hillsborough,North Carolina
28677,Statesville,North Carolina
37421,Salisbury,Tennessee
29316,Buford,South Carolina
22312,Bristow,Virginia
29732,Lawrenceville,South Carolina
28412,Southport,North Carolina
33513,Winter Park,Florida
33880,Indiana,Florida
30035,Norcross,Georgia
28110,Indian Trail,North Carolina
32405,null,Florida
32720,DeLand,Florida
32809,Kissimmee,Florida
32303,Tallahassee,Florida
36567,Foley,Alabama
30736,Dayton,Georgia
29376,Seneca,South Carolina
29445,null,South Carolina
30248,Sharpsburg,Georgia
36606,Orlando,Alabama
39507,Milwaukee,Mississippi
30281,Brooklyn,Georgia
48603,Englewood,Michigan
36203,Erin,Alabama
29730,Goose Creek,South Carolina
30909,Charlotte,Georgia
33714,Largo,Florida
23901,null,Virginia
29803,Grovetown,South Carolina
28273,Charlotte,North Carolina
8037,Menlo Park,New Jersey
8753,Yonkers,New Jersey
33777,Dunedin,Florida
42420,Hopkinsville,Kentucky
31061,Macon,Georgia
33982,Lehigh Acres,Florida
31408,null,Georgia
33619,Apopka,Florida
30117,Duluth,Georgia
29720,Clover,South Carolina
30742,Westminster,Georgia
22046,null,Virginia
46123,Plainfield,Indiana
29526,Florence,South Carolina
61053,Mount Morris,Illinois
34207,Estero,Florida
29501,Lexington,South Carolina
32626,Tifton,Florida
33770,Kissimmee,Florida
29732,York,South Carolina
27030,Fayetteville,North Carolina
30341,Louisville,Georgia
32504,Mobile,Florida
33612,Damascus,Florida
29609,Chattanooga,South Carolina
30223,Atlanta,Georgia
33770,Wharton,Florida
23235,Richmond,Virginia
32244,Orange Park,Florida
37148,null,Tennessee
33578,Ruskin,Florida
29803,Edgefield,South Carolina
30046,Lilburn,Georgia
34601,Brooksville,Florida
37408,Rossville,Tennessee
30360,Austell,Georgia
32246,Apopka,Florida
32244,Tallahassee,Florida
32904,Melbourne,Florida
33060,Fort Lauderdale,Florida
33770,Las Vegas,Florida
27893,null,North Carolina
48603,Lakewood,Michigan
31503,Brunswick,Georgia
65251,Holden,Missouri
4072,Portland,Maine
33440,Clewiston,Florida
29609,Evans,South Carolina
18915,Oakhurst,Pennsylvania
62801,Breese,Illinois
31503,Alma,Georgia
48603,Cleveland,Michigan
30542,Athens,Georgia
48604,Bay City,Michigan
32218,Niceville,Florida
33513,Spring Hill,Florida
33604,Fort Myers,Florida
29512,Dillon,South Carolina
61053,Freeport,Illinois
28110,null,North Carolina
7104,Bethlehem,New Jersey
65648,Joplin,Missouri
48603,Mt. Morris,Michigan
77034,Salt Lake City,Texas
46254,Los Angeles,Indiana
30055,Snellville,Georgia
27604,Arlington Heights,North Carolina
30263,Riverdale,Georgia
22302,Ashburn,Virginia
27596,Smithfield,North Carolina
25526,Yawkey,West Virginia
30043,Lawrenceville,Georgia
28303,Wilmington,North Carolina
29732,null,South Carolina
34207,Phoenix,Florida
30080,Suwanee,Georgia
30055,Woodville,Georgia
29611,Byron,South Carolina
33860,Altamonte Springs,Florida
36116,Niceville,Alabama
34208,Lakeland,Florida
32216,null,Florida
28412,Wilmington,North Carolina
38024,Halls,Tennessee
34610,Sun City Center,Florida
28304,Four Oaks,North Carolina
36619,Grand Bay,Alabama
28717,Spartanburg,North Carolina
31008,Centerville,Georgia
50131,Omaha,Iowa
29611,Pickens,South Carolina
33860,Haines City,Florida
32808,Port Orange,Florida
36608,Montgomery,Alabama
28304,null,North Carolina
33916,Fort Myers,Florida
31407,St Louis,Georgia
30248,null,Georgia
94087,null,California
77338,Cypress,Texas
28806,Dawsonville,North Carolina
77083,Leander,Texas
23112,Richmond,Virginia
34481,Summerfield,Florida
89502,Stockton,Nevada
33613,Saint Petersburg,Florida
38237,Martin,Tennessee
7104,Nyack,New Jersey
29730,Charlotte,South Carolina
48603,Keego Harbor,Michigan
32117,Clearwater,Florida
31501,Waycross,Georgia
4072,Bar Harbor,Maine
36526,Spanish Fort,Alabama
67207,Tonkawa,Kansas
7104,Paterson,New Jersey
33912,Tallahassee,Florida
64116,Ozark,Missouri
50131,Bettendorf,Iowa
28601,Statesville,North Carolina
34207,Pinellas Park,Florida
27513,Zebulon,North Carolina
77065,Pomona,Texas
27357,Durham,North Carolina
30736,Soddy-Daisy,Georgia
36619,New Braunfels,Alabama
27215,Graham,North Carolina
30319,Duluth,Georgia
33612,Palmetto,Florida
92675,Mission Viejo,California
93101,Burbank,California
33612,Riverview,Florida
47441,Bloomington,Indiana
27127,Lexington,North Carolina
29803,Conyers,South Carolina
31407,Rincon,Georgia
7104,Suwanee,New Jersey
34638,Summerfield,Florida
48603,Clarkston,Michigan
32801,Melbourne Beach,Florida
48603,Southfield,Michigan
33903,Cape Coral,Florida
48603,White Cloud,Michigan
32505,Foley,Florida
53051,Amstetten,Wisconsin
29053,Columbia,South Carolina
34471,Decatur,Florida
32218,Destin,Florida
61053,Lena,Illinois
30016,Roswell,Georgia
53045,Waukesha,Wisconsin
34207,Kenosha,Florida
22302,Bowie,Virginia
28212,Matthews,North Carolina
23455,Elizabeth City,Virginia
29316,Atlanta,South Carolina
32506,Irmo,Florida
45373,Chambersburg,Ohio
34448,Spring Hill,Florida
34207,Tallinn,Florida
53045,Marathon,Wisconsin
32311,Tallahassee,Florida
30188,Woodstock,Georgia
22302,Burke,Virginia
32506,null,Florida
28401,Leland,North Carolina
34667,Milton,Florida
28904,Durham,North Carolina
34683,Largo,Florida
33908,Fort Myers,Florida
33908,Cape Coral,Florida
22302,Potomac,Virginia
29045,Sumter,South Carolina
32804,Gainesville,Florida
32578,DeFuniak Springs,Florida
34207,Jackson,Florida
30084,Loganville,Georgia
2132,null,Massachusetts
28205,Rostov-on-Don,North Carolina
32084,Branford,Florida
33781,Atlanta,Florida
33825,Bartow,Florida
77598,Mico,Texas
32578,Blountstown,Florida
33777,New York,Florida
37421,Muscle Shoals,Tennessee
37421,Aberdeen,Tennessee
48603,Battle Creek,Michigan
30040,Ellenwood,Georgia
29526,Conway,South Carolina
48603,Montrose,Michigan
73128,Washington,Oklahoma
7104,Mount Airy,New Jersey
34207,Dunedin,Florida
77578,League City,Texas
50131,Osceola,Iowa
28791,Franklin,North Carolina
33781,San Diego,Florida
33844,Tampa,Florida
7104,Tiffin,New Jersey
30096,Alpharetta,Georgia
28105,Charlotte,North Carolina
29730,Lancaster,South Carolina
20176,Bowie,Virginia
31533,Newark,Georgia
