vin_prefix,year,make,model
2GCEK19V_1,2001,Chevrolet,Silverado 1500
JM3KE2DY_E,2014,Mazda,CX-5
2FMDK46C_7,2007,Ford,Edge
KL1TD566_8,2008,Chevrolet,Aveo
WBAWR3C5_A,2010,BMW,3 Series
1GNFK130_7,2007,Chevrolet,Tahoe
WDBRF52H_6,2006,Mercedes-Benz,C
JT3VN39W_M,1991,Toyota,4Runner
2LNHM82V_8,2008,Lincoln,Town Car
JTHCK262_8,2008,Lexus,IS
3B7HC13Z_V,1997,Dodge,Ram 1500
1G1JF52T_X,1999,Chevrolet,Cavalier
JN1AJ0HP_B,2011,Infiniti,EX35
1GTHK232_5,2005,GMC,Sierra 2500HD
1GKS1AE0_C,2012,GMC,Yukon
1FMNU40S_1,2001,Ford,Excursion
JM1NC2PF_C,2012,Mazda,Miata
5FNYF4H5_B,2011,Honda,Pilot
1FMEU15H_S,1995,Ford,Bronco
SAJDA14C_3,2003,Jaguar,XJ
1G1JF12T_1,2001,Chevrolet,Cavalier
JTEBT17R_8,2008,Toyota,4Runner
WBANB335_4,2004,BMW,5 Series
JM1GJ1U5_G,2016,Mazda,Mazda6
1FTFW1EV_A,2010,Ford,F-150
1G2WP52K_2,2002,Pontiac,Grand Prix
3LNHM26T_7,2007,Lincoln,MKZ
1G1ZG57B_9,2009,Chevrolet,Malibu
1G1ND52J_3,2003,Chevrolet,Malibu
1FADP3F2_F,2015,Ford,Focus
JH4KA763_P,1993,Acura,Legend
4T4BE46K_9,2009,Toyota,Camry
JNKBV61F_7,2007,Infiniti,G35
JHLRD684_2,2002,Honda,CR-V
3GYFNBE3_F,2015,Cadillac,SRX
1C6RR6GG_G,2016,Ram,1500
2T2BK1BA_D,2013,Lexus,RX
1GKDS13S_2,2002,GMC,Envoy
3VW2K7AJ_D,2013,Volkswagen,Jetta
1FMCU941_5,2005,Ford,Escape
JM3TB2DA_D,2013,Mazda,CX-9
5NMSG3AB_A,2010,Hyundai,Santa Fe
1C6RR7LG_F,2015,Ram,1500
JTDKT4K3_A,2010,Toyota,Yaris
1D4GP24R_7,2007,Dodge,Grand Caravan
3N1BC13E_9,2009,Nissan,Versa
WBAVB735_8,2008,BMW,3 Series
3LN6L2G9_D,2013,Lincoln,MKZ
WDCGG5GB_A,2010,Mercedes-Benz,GLK
2G4WS52J_2,2002,Buick,Century
4F2CZ041_5,2005,Mazda,Tribute
5FNRL186_4,2004,Honda,Odyssey
2G1FB3DD_B,2011,Chevrolet,Camaro
2MEFM75V_8,2008,Mercury,Grand Marquis
2C3KA53G_6,2006,Chrysler,300
1GCEK19R_T,1996,Chevrolet,C/K 1500
1FTRW12W_4,2004,Ford,F-150
WBAEV334_2,2002,BMW,3 Series
3VWCC21V_1,2001,Volkswagen,Cabrio
3C6TR5DT_G,2016,Ram,2500
JM3KE4CY_E,2014,Mazda,CX-5
KNAFK4A6_F,2015,Kia,Forte
1FMEU51K_7,2007,Ford,Explorer Sport Trac
2HNYD2H4_D,2013,Acura,MDX
3VWRP69M_3,2003,Volkswagen,Jetta
JTHBK262_7,2007,Lexus,IS
WDBRF40J_3,2003,Mercedes-Benz,C
3VW447AU_F,2015,Volkswagen,Golf
1N4AB41D_X,1999,Nissan,Sentra
1FTRW125_8,2008,Ford,F-150
5TFBV541_9,2009,Toyota,Tundra
2HGFG3B8_C,2012,Honda,Civic
1C4PJMBS_E,2014,Jeep,Cherokee
2HGFG1B8_A,2010,Honda,Civic
JTHBD192_5,2005,Lexus,IS
1G6KD57Y_6,2006,Cadillac,DTS
WA1CFAFP_C,2012,Audi,Q5
1G1ZA5EU_B,2011,Chevrolet,Malibu
5NPEB4AC_D,2013,Hyundai,Sonata
JHMEC463_H,1987,Honda,Civic
1FMCU0E7_C,2012,Ford,Escape
4S3BG685_X,1999,Subaru,Outback
JHLRD284_1,2001,Honda,CR-V
3N1AB61E_7,2007,Nissan,Sentra
3VW4A7AJ_D,2013,Volkswagen,Jetta
2GCEK19T_X,1999,Chevrolet,Silverado 1500
1C4BJWEG_C,2012,Jeep,Wrangler
WBAEV534_2,2002,BMW,3 Series
1GCEC19C_7,2007,Chevrolet,Silverado 1500
5NPEC4AC_D,2013,Hyundai,Sonata
WVGSV7AX_H,2017,Volkswagen,Tiguan
KNDMB233_6,2006,Kia,Sedona
1VWBP7A3_D,2013,Volkswagen,Passat
1GTR1VE0_B,2011,GMC,Sierra 1500
1B7HF13Y_T,1996,Dodge,Ram 1500
1G6DM56T_5,2005,Cadillac,CTS
JT8JZ31C_S,1995,Lexus,SC
JTMDF4DV_A,2010,Toyota,RAV4
3MZBM1U7_F,2015,Mazda,Mazda3
JHMFA362_9,2009,Honda,Civic
1J4FY19P_P,1993,Jeep,Wrangler
WBAEV334_4,2004,BMW,3 Series
WVWUF7AU_G,2016,Volkswagen,Golf
1GCHK53K_9,2009,Chevrolet,Silverado 2500HD
KMHTC6AD_F,2015,Hyundai,Veloster
JM1BK323_5,2005,Mazda,Mazda3
JTHBN30F_1,2001,Lexus,LS
3VWJZ7AJ_A,2010,Volkswagen,Jetta
1NXBR32E_5,2005,Toyota,Corolla
1N6AD06W_8,2008,Nissan,Frontier
2HGES165_2,2002,Honda,Civic
SALSH234_7,2007,Land Rover,Range Rover Sport
WBA3C1C5_D,2013,BMW,3 Series
2G4WE587_6,2006,Buick,LaCrosse
JA3AH86F_3,2003,Mitsubishi,Lancer Evolution
2T3WFREV_D,2013,Toyota,RAV4
1C4BJWEG_E,2014,Jeep,Wrangler
1GCEC19X_9,2009,Chevrolet,Silverado 1500
1GNFLGEK_F,2015,Chevrolet,Equinox
WDDGF4HB_C,2012,Mercedes-Benz,C
1FMRU15W_3,2003,Ford,Expedition
1FTNF1EF_C,2012,Ford,F-150
2HGFG126_8,2008,Honda,Civic
WAULT64B_4,2004,Audi,A6
1FTPX145_7,2007,Ford,F-150
2HGFG1B6_A,2010,Honda,Civic
1GNEK13K_S,1995,Chevrolet,Tahoe
2HKRM4H3_D,2013,Honda,CR-V
1G6KD579_8,2008,Cadillac,DTS
4JGDA2EB_C,2012,Mercedes-Benz,ML
1G1FB1RX_G,2016,Chevrolet,Camaro
KMHWF25S_3,2003,Hyundai,Sonata
JT2BK18U_3,2003,Toyota,Prius
WBANA535_5,2005,BMW,5 Series
2G4WC582_6,2006,Buick,LaCrosse
KMHCU5AE_D,2013,Hyundai,Accent
1GKFK16R_X,1999,GMC,Suburban
1G1PG5S9_B,2011,Chevrolet,Cruze
WBAVD135_6,2006,BMW,3 Series
JHMGD384_7,2007,Honda,Fit
1D7HA182_8,2008,Dodge,Ram 1500
5YFBURHE_F,2015,Toyota,Corolla
3CZRE3H5_A,2010,Honda,CR-V
JM1FC351_J,1988,Mazda,RX-7
WAUAFAFL_A,2010,Audi,A4
1B3ES56C_4,2004,Dodge,Neon
1G1115SL_F,2015,Chevrolet,Impala
JHLRD788_2,2002,Honda,CR-V
2MEPM36U_N,1992,Mercury,Topaz
4S2CK57W_2,2002,Isuzu,Rodeo Sport
1FADP3F2_G,2016,Ford,Focus
1FAFP532_3,2003,Ford,Taurus
1G4HE57Y_6,2006,Buick,Lucerne
JHMZE2H7_C,2012,Honda,Insight
1GKET66M_6,2006,GMC,Envoy
1FAFP42X_W,1998,Ford,Mustang
1FMFU195_7,2007,Ford,Expedition
1FMCU031_2,2002,Ford,Escape
WVGAV3AX_D,2013,Volkswagen,Tiguan
1FTRW076_2,2002,Ford,F-150
WBA8E3G5_G,2016,BMW,3 Series
2G1WB5EK_A,2010,Chevrolet,Impala
1FMYU931_4,2004,Ford,Escape
YV1TS91Z_3,2003,Volvo,S80
SALSH234_8,2008,Land Rover,Range Rover Sport
1FAFP404_2,2002,Ford,Mustang
1GCHK29U_7,2007,Chevrolet,Silverado 2500HD
1HGCS1B8_B,2011,Honda,Accord
1N4AL24E_8,2008,Nissan,Altima
2G1FE1E3_E,2014,Chevrolet,Camaro
1G1ZE5E1_B,2011,Chevrolet,Malibu
WAULT68E_2,2002,Audi,A4
2G1125S3_F,2015,Chevrolet,Impala
1C4PJMCB_F,2015,Jeep,Cherokee
3G5DA03L_6,2006,Buick,Rendezvous
5TBET341_4,2004,Toyota,Tundra
5UXFE4C5_A,2010,BMW,X5
5TFRM5F1_D,2013,Toyota,Tundra
4T1BF1FK_D,2013,Toyota,Camry
5TEVL52N_3,2003,Toyota,Tacoma
2GTEC19T_4,2004,GMC,Sierra 1500
5NMSG13D_8,2008,Hyundai,Santa Fe
WAUML44D_2,2002,Audi,A8
1FMFU17L_3,2003,Ford,Expedition
2G1WB5E3_C,2012,Chevrolet,Impala
2GTEC13T_6,2006,GMC,Sierra 1500
1C6RR6GG_F,2015,Ram,1500
1J4RS4GG_B,2011,Jeep,Grand Cherokee
JTEBU5JR_G,2016,Toyota,4Runner
5TBBT441_Y,2000,Toyota,Tundra
YV4952CT_B,2011,Volvo,XC90
JN8AZ08T_3,2003,Nissan,Murano
1GC2KXCG_D,2013,Chevrolet,Silverado 2500HD
1GCEK14R_W,1998,Chevrolet,C/K 1500
KMHDU46D_7,2007,Hyundai,Elantra
1G11F5SL_F,2015,Chevrolet,Malibu
3G5DA03E_3,2003,Buick,Rendezvous
WBA3B3C5_D,2013,BMW,3 Series
JM1BL1V5_C,2012,Mazda,Mazda3
WBAPH775_9,2009,BMW,3 Series
3VWPW31C_7,2007,Volkswagen,New Beetle
5FNYF282_8,2008,Honda,Pilot
2C3KA63H_7,2007,Chrysler,300
1J4NF1GB_B,2011,Jeep,Patriot
1FAHP2E8_D,2013,Ford,Taurus
1YVHZ8BH_B,2011,Mazda,Mazda6
WA1UFAFL_G,2016,Audi,Allroad
1FM5K8D8_G,2016,Ford,Explorer
WBAHN835_6,2006,BMW,7 Series
2D4RN5DG_B,2011,Dodge,Grand Caravan
1FAFP34P_3,2003,Ford,Focus
1FMZU64W_3,2003,Ford,Explorer
1G2NF52E_Y,2000,Pontiac,Grand Am
JT3HN86R_2,2002,Toyota,4Runner
1GC1CXE8_E,2014,Chevrolet,Silverado 2500HD
WAUFFAFL_G,2016,Audi,A4
5J6TF2H5_D,2013,Honda,Accord Crosstour
WBANA735_5,2005,BMW,5 Series
WVGAV75N_9,2009,Volkswagen,Tiguan
4T3ZF19C_X,1999,Toyota,Sienna
1D7HA16D_5,2005,Dodge,Ram 1500
5UXFE435_8,2008,BMW,X5
2G1WC5E3_E,2014,Chevrolet,Impala
1HGES165_1,2001,Honda,Civic
1C4NJCBA_F,2015,Jeep,Compass
1FTEF15N_S,1995,Ford,F-150
1FTKR1ED_A,2010,Ford,Ranger
KMHEU46C_6,2006,Hyundai,Sonata
1HGCG565_X,1999,Honda,Accord
5TDZA23C_4,2004,Toyota,Sienna
2G4WS52M_X,1999,Buick,Century
1FTWW32P_5,2005,Ford,F-350
5FNYF4H2_E,2014,Honda,Pilot
1HGCG566_2,2002,Honda,Accord
1N4BL3AP_D,2013,Nissan,Altima
2HGFG1B8_B,2011,Honda,Civic
1D7HE22K_6,2006,Dodge,Dakota
1G1FH1R7_H,2017,Chevrolet,Camaro
5N1AA08A_6,2006,Nissan,Armada
WBANE535_7,2007,BMW,5 Series
1FMJU1H5_D,2013,Ford,Expedition
1J4FA59S_4,2004,Jeep,Wrangler
1C3AN69L_5,2005,Chrysler,Crossfire
JN8AS5MT_D,2013,Nissan,Rogue
1GNKRFKD_D,2013,Chevrolet,Traverse
SALAK2D4_A,2010,Land Rover,LR4
1FAHP38Z_5,2005,Ford,Focus
3VW8T7AT_D,2013,Volkswagen,Beetle
3N1AB61E_9,2009,Nissan,Sentra
4F2YU071_1,2001,Mazda,Tribute
2GCEC13J_7,2007,Chevrolet,Silverado 1500
1G2ZG57B_9,2009,Pontiac,G6
1FTPW14V_8,2008,Ford,F-150
1FTRW08L_3,2003,Ford,F-150
1GNFC360_9,2009,Chevrolet,Suburban 1500
2GNALDEK_C,2012,Chevrolet,Equinox
1GNFC130_7,2007,Chevrolet,Tahoe
1GTHC29U_4,2004,GMC,Sierra 2500HD
1G6DG577_9,2009,Cadillac,CTS
1FAFP45X_X,1999,Ford,Mustang
3GCEK23M_9,2009,Chevrolet,Silverado 1500
2G1FK1EJ_B,2011,Chevrolet,Camaro
1D7GL42K_4,2004,Dodge,Dakota
WDBRF92H_7,2007,Mercedes-Benz,C
1D7HU18N_6,2006,Dodge,Ram 1500
1FTYR44U_8,2008,Ford,Ranger
1B4HS28N_1,2001,Dodge,Durango
5TFRT541_9,2009,Toyota,Tundra
4S4BREKC_B,2011,Subaru,Outback
2C3CDYBT_C,2012,Dodge,Challenger
2C3CCABG_C,2012,Chrysler,300
3FAHP0KC_C,2012,Ford,Fusion
WDDDJ75X_6,2006,Mercedes-Benz,CLS
3CZRM3H3_E,2014,Honda,CR-V
WDBRF64J_4,2004,Mercedes-Benz,C
SCBBR53W_6,2006,Bentley,Continental
5FNYF281_7,2007,Honda,Pilot
1G1PC5SH_B,2011,Chevrolet,Cruze
1J4GZ58S_T,1996,Jeep,Grand Cherokee
JM1DE1KY_D,2013,Mazda,Mazda2
2GCEK13Y_7,2007,Chevrolet,Silverado 1500
2G1FD3D3_F,2015,Chevrolet,Camaro
1J8HR58N_8,2008,Jeep,Grand Cherokee
2G1FK3DJ_B,2011,Chevrolet,Camaro
2A8GP64L_6,2006,Chrysler,Town & Country
2GCEK19C_7,2007,Chevrolet,Silverado 1500
1VWDT7A3_H,2017,Volkswagen,Passat
1GCHC241_1,2001,Chevrolet,Silverado 2500HD
2A4RR4DE_A,2010,Chrysler,Town & Country
1LNHM81W_5,2005,Lincoln,Town Car
WDBSK75F_5,2005,Mercedes-Benz,SL
WAUNF78P_6,2006,Audi,A3
3C63DPKL_C,2012,Ram,3500
1G1AF5F5_A,2010,Chevrolet,Cobalt
4T1BF1FK_F,2015,Toyota,Camry
5FNRL386_7,2007,Honda,Odyssey
2G1WH55K_2,2002,Chevrolet,Impala
2B3CJ5DT_A,2010,Dodge,Challenger
1FAFP58U_4,2004,Ford,Taurus
1J4FF68S_X,1999,Jeep,Cherokee
1GCHK33F_V,1997,Chevrolet,C/K 3500
2HGFA168_8,2008,Honda,Civic
1G1YY22G_W,1998,Chevrolet,Corvette
4F2CZ02Z_8,2008,Mazda,Tribute
1J4GL48K_2,2002,Jeep,Liberty
1GCEC14X_7,2007,Chevrolet,Silverado 1500
1GCEK19T_1,2001,Chevrolet,Silverado 1500
1HGCR3F8_E,2014,Honda,Accord
3GCPCREC_G,2016,Chevrolet,Silverado 1500
JM3TB3DA_E,2014,Mazda,CX-9
2C4JDGAG_C,2012,Ram,C/V
KMHCN4AC_A,2010,Hyundai,Accent
2LMDU68C_8,2008,Lincoln,MKX
1GKER33D_9,2009,GMC,Acadia
3C4PDCAB_C,2012,Dodge,Journey
1GYEK63N_4,2004,Cadillac,Escalade
1GYDE63A_4,2004,Cadillac,SRX
JM3KE2DY_G,2016,Mazda,CX-5
JHMCM563_7,2007,Honda,Accord
1G6DF577_8,2008,Cadillac,CTS
2CNFLEEC_B,2011,Chevrolet,Equinox
KNAFE221_9,2009,Kia,Spectra
1HGCM563_4,2004,Honda,Accord
1G1YY33P_P,1993,Chevrolet,Corvette
5TDZK23C_7,2007,Toyota,Sienna
1J4FA59S_Y,2000,Jeep,Wrangler
1FT7W2BT_F,2015,Ford,F-250
1FTNX21L_2,2002,Ford,F-250
1GKEK63U_4,2004,GMC,Yukon
1GNKVHKD_G,2016,Chevrolet,Traverse
