make,model,count,maxprice,minprice,avgprice
Mitsubishi,Galant,2,8900,2200,5550
Mitsubishi,Lancer,3,8999,2977,6158.666666666667
Mitsubishi,Outlander,1,6500,6500,6500
Nissan,Altima,17,18995,1295,8824.411764705883
Nissan,Armada,1,10980,10980,10980
Nissan,Cube,1,9950,9950,9950
Nissan,Frontier,2,8800,8500,8650
Nissan,Maxima,4,9595,3000,5373.5
Nissan,Murano,2,26795,9399,18097
Nissan,Pathfinder,6,11500,2450,6073.333333333333
Nissan,Rogue,1,12995,12995,12995
Nissan,Sentra,3,7995,6800,7565
Nissan,Titan,2,12995,5995,9495
Nissan,Versa,3,7995,4400,6127.666666666667
Nissan,Xterra,3,9995,3300,6065
Nissan,Z,1,8995,8995,8995
Pontiac,G5,2,8995,5500,7247.5
Pontiac,G6,3,7995,4500,6798.333333333333
Pontiac,Montana,1,1995,1995,1995
Pontiac,Solstice,1,7995,7995,7995
Pontiac,Vibe,2,8695,6995,7845
Ram,1500,1,19880,19880,19880
Ram,2500,1,29990,29990,29990
Ram,3500,1,49950,49950,49950
Ram,ProMaster City,1,18950,18950,18950
Saturn,Aura,1,9750,9750,9750
Saturn,Ion,1,700,700,700
Saturn,L-Series,1,1350,1350,1350
Scion,xB,1,4900,4900,4900
Subaru,Forester,1,8495,8495,8495
Subaru,Impreza,1,17300,17300,17300
Subaru,Legacy,1,1350,1350,1350
Subaru,Outback,4,33612,4800,12723
Suzuki,Forenza,1,4995,4995,4995
Toyota,4Runner,5,10900,4250,6909
Toyota,Avalon,3,12200,4995,7396.666666666667
Toyota,Camry,9,15850,3995,8061.555555555556
Toyota,Camry Solara,2,8995,2900,5947.5
Toyota,Corolla,7,14985,4500,9424.142857142857
Toyota,FJ Cruiser,2,16995,14995,15995
Toyota,Highlander,2,17900,12500,15200
Toyota,Matrix,1,8950,8950,8950
Toyota,Prius,1,4995,4995,4995
Toyota,RAV4,3,10995,5995,8996.666666666666
Toyota,Sequoia,1,6900,6900,6900
Toyota,Sienna,3,15995,6495,10496.333333333334
Toyota,Tacoma,2,31999,14995,23497
Toyota,Tundra,5,15900,6995,11186.6
Volkswagen,CC,1,9000,9000,9000
Volkswagen,Eos,1,12000,12000,12000
Volkswagen,Golf,1,25657,25657,25657
Volkswagen,Jetta,4,30050,6995,16614.75
Volkswagen,New Beetle,1,4499,4499,4499
Volkswagen,Passat,4,14800,3775,9006.25
Volkswagen,Rabbit,1,5990,5990,5990
Volkswagen,Tiguan,1,35765,35765,35765
Volvo,S40,2,8990,5395,7192.5
Volvo,XC90,1,3995,3995,3995
